SAMPLE_ID	SAMPLE_NAME	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730
END_DATA_FORMAT
NUMBER_OF_SETS	300
BEGIN_DATA
258	D6	50.00	31.00	58.00	0.00	0.093953	0.109244	0.132924	0.167437	0.194369	0.205893	0.209451	0.211330	0.211772	0.211628	0.219794	0.256299	0.328778	0.388986	0.392685	0.367400	0.335560	0.297269	0.258788	0.233586	0.232564	0.261084	0.293483	0.312742	0.323760	0.331142	0.338419	0.349776	0.363585	0.370270	0.369227	0.362542	0.351496	0.345767	0.353341	0.381306
259	D7	25.00	13.88	28.88	0.00	0.216116	0.253513	0.307208	0.403271	0.481916	0.509947	0.508835	0.501710	0.496224	0.491607	0.492464	0.517692	0.569971	0.614389	0.618094	0.598040	0.573239	0.542542	0.510215	0.489281	0.488039	0.510832	0.536595	0.553551	0.565837	0.575483	0.584230	0.595370	0.606314	0.612770	0.613834	0.611427	0.606137	0.603854	0.608890	0.627443
260	D8	62.50	43.25	70.29	0.00	0.058294	0.072395	0.086158	0.107570	0.123516	0.131285	0.135694	0.138095	0.138861	0.138501	0.146535	0.179742	0.245526	0.297225	0.296194	0.269468	0.238539	0.202276	0.166440	0.143825	0.143878	0.170778	0.201518	0.219167	0.228606	0.234178	0.240190	0.250466	0.263729	0.270688	0.268565	0.261348	0.249917	0.243857	0.251715	0.279846
261	D9	37.50	21.99	42.99	0.00	0.153375	0.179350	0.216674	0.277016	0.324471	0.343444	0.346342	0.344846	0.342603	0.340293	0.345210	0.377786	0.442545	0.495788	0.500086	0.476448	0.446733	0.410412	0.373070	0.348472	0.347166	0.374247	0.405799	0.425735	0.438211	0.446888	0.455461	0.466838	0.479745	0.486604	0.486354	0.481544	0.473043	0.468559	0.475217	0.499422
262	D10	12.50	6.33	15.33	0.00	0.304083	0.352294	0.423889	0.561513	0.683195	0.722908	0.714630	0.697015	0.686363	0.679359	0.675461	0.689356	0.721977	0.748117	0.747432	0.732170	0.714793	0.692912	0.669912	0.656754	0.654667	0.667088	0.681111	0.692916	0.704153	0.715331	0.725806	0.736633	0.746292	0.752866	0.756054	0.757365	0.756742	0.757603	0.761334	0.773711
263	D11	75.00	57.09	84.18	0.00	0.033113	0.040119	0.050283	0.061777	0.068830	0.073181	0.076888	0.078927	0.079466	0.079270	0.085354	0.112365	0.165473	0.203701	0.198992	0.175878	0.150243	0.121526	0.093956	0.077379	0.078400	0.102562	0.131085	0.146969	0.154921	0.159316	0.164271	0.174067	0.186802	0.193446	0.191235	0.183922	0.172007	0.166263	0.173969	0.202220
264	D12	87.50	72.88	100.00	0.00	0.019313	0.025614	0.029662	0.035285	0.037896	0.039705	0.041713	0.043582	0.043894	0.044008	0.049616	0.070947	0.111521	0.138025	0.131156	0.112244	0.092675	0.071167	0.051234	0.040396	0.041493	0.058698	0.079202	0.089470	0.094231	0.097058	0.100693	0.109541	0.121456	0.127629	0.125196	0.118073	0.107182	0.101556	0.109315	0.135970
241	E1	0.00	70.00	70.00	0.00	0.076383	0.075101	0.077029	0.088285	0.097387	0.099594	0.098163	0.095596	0.091939	0.087281	0.087693	0.104115	0.141543	0.174385	0.181519	0.179605	0.178259	0.172330	0.162800	0.159331	0.189250	0.310733	0.498137	0.652061	0.741759	0.787890	0.812738	0.826950	0.836847	0.844315	0.850886	0.857111	0.864132	0.869010	0.870940	0.873538
242	E2	70.00	0.00	70.00	0.00	0.064529	0.080583	0.102719	0.132514	0.152172	0.161154	0.167279	0.173310	0.180093	0.186431	0.204963	0.264839	0.388033	0.505287	0.524604	0.477781	0.413742	0.344261	0.280397	0.237053	0.213846	0.201769	0.192709	0.187528	0.187319	0.189007	0.192948	0.202101	0.214296	0.220494	0.218217	0.211067	0.199663	0.193603	0.201374	0.228350
243	E3	70.00	70.00	0.00	0.00	0.097089	0.129848	0.176997	0.246538	0.308390	0.345508	0.368026	0.368622	0.348340	0.320114	0.288472	0.259925	0.230388	0.198265	0.167007	0.141788	0.120425	0.097491	0.076738	0.065717	0.070683	0.102265	0.144011	0.170492	0.183767	0.190541	0.196278	0.206586	0.219352	0.226047	0.224393	0.217111	0.205158	0.199073	0.206924	0.234156
