"File created by Curve"
LGOROWLENGTH 12
NUMBER_OF_FIELDS 	45
BEGIN_DATA_FORMAT
SampleID	SAMPLE_NAME	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	LAB_L	LAB_A	LAB_B	nm380	nm390	nm400	nm410	nm420	nm430	nm440	nm450	nm460	nm470	nm480	nm490	nm500	nm510	nm520	nm530	nm540	nm550	nm560	nm570	nm580	nm590	nm600	nm610	nm620	nm630	nm640	nm650	nm660	nm670	nm680	nm690	nm700	nm710	nm720	nm730
END_DATA_FORMAT
NUMBER_OF_SETS 300
BEGIN_DATA
274	"C10"	12.50	9.33	15.33	0.00	84.25	0.77	1.16	0.294951	0.33521	0.393052	0.505081	0.605968	0.641551	0.639667	0.63119	0.628254	0.626015	0.628775	0.649393	0.682759	0.700938	0.69223	0.673527	0.654076	0.628098	0.599225	0.585358	0.593473	0.621655	0.648265	0.67027	0.689599	0.70719	0.723395	0.738612	0.751074	0.756476	0.755851	0.751718	0.746984	0.745598	0.751387	0.765565
275	"C11"	75.00	66.12	84.18	0.00	36.92	1.06	8.63	0.038183	0.044449	0.04819	0.053353	0.05669	0.059069	0.060979	0.063225	0.066122	0.067009	0.074828	0.099741	0.134963	0.147789	0.13334	0.115022	0.097025	0.07518	0.054059	0.044761	0.054103	0.083826	0.111639	0.125411	0.132324	0.136568	0.142605	0.154453	0.169082	0.175423	0.170868	0.160525	0.147817	0.14205	0.151474	0.176919
276	"C12"	87.50	81.92	100.00	0.00	29.53	1.20	4.11	0.027427	0.034878	0.037572	0.040097	0.042467	0.043343	0.044264	0.047017	0.048709	0.049201	0.054712	0.073519	0.097574	0.101192	0.086817	0.072547	0.059757	0.044494	0.031008	0.025712	0.033271	0.054328	0.07216	0.079335	0.08254	0.085222	0.089833	0.10031	0.114086	0.119656	0.115649	0.106309	0.094162	0.088775	0.098147	0.121789
253	"D1"	0.00	80.00	80.00	0.00	55.47	58.46	42.74	0.072145	0.064865	0.059408	0.059914	0.061791	0.061895	0.061385	0.060905	0.060679	0.058959	0.063313	0.080773	0.105684	0.114748	0.107151	0.101391	0.098008	0.089272	0.078285	0.07934	0.13177	0.293521	0.512365	0.682286	0.778859	0.830428	0.860194	0.879199	0.890883	0.89732	0.900167	0.901312	0.903494	0.906115	0.909856	0.915888
254	"D2"	80.00	0.00	80.00	0.00	57.68	-47.94	22.34	0.05944	0.068244	0.079986	0.093834	0.099722	0.101131	0.103605	0.110585	0.119788	0.131084	0.160596	0.238014	0.376024	0.486383	0.493307	0.441039	0.371415	0.29442	0.222682	0.173997	0.147542	0.133225	0.121986	0.115903	0.115273	0.116612	0.121614	0.133062	0.147026	0.15301	0.148555	0.13884	0.126564	0.121266	0.131112	0.156534
255	"D3"	80.00	80.00	0.00	0.00	33.38	22.46	-42.48	0.074665	0.105147	0.146135	0.199021	0.248503	0.280493	0.303035	0.302412	0.28144	0.249504	0.215971	0.185347	0.154752	0.122737	0.094497	0.07592	0.061407	0.04377	0.028882	0.024088	0.033766	0.061287	0.088011	0.101465	0.108196	0.112458	0.118253	0.12992	0.144348	0.150813	0.146464	0.136615	0.12384	0.118238	0.128203	0.153733
256	"D4"	0.00	0.00	0.00	90.00	27.08	0.31	1.48	0.029602	0.033567	0.036337	0.042195	0.045835	0.046316	0.0474	0.047662	0.048403	0.049263	0.050038	0.050425	0.051087	0.051489	0.051587	0.051183	0.05131	0.051122	0.050565	0.05014	0.049895	0.050349	0.050585	0.051461	0.052669	0.054219	0.056355	0.058618	0.061057	0.062912	0.063794	0.064575	0.065462	0.066697	0.0692	0.072847
257	"D5"	90.00	85.34	85.34	0.00	28.18	2.35	-2.27	0.0336	0.039612	0.043688	0.048443	0.052391	0.053951	0.056532	0.05834	0.058931	0.05769	0.061716	0.076796	0.095532	0.094822	0.07914	0.065663	0.053597	0.039171	0.026705	0.022246	0.029562	0.049231	0.065409	0.071075	0.073707	0.076078	0.08049	0.09088	0.104472	0.110518	0.106383	0.096703	0.085383	0.080597	0.089625	0.113147
258	"D6"	50.00	31.00	58.00	0.00	59.05	-10.76	15.42	0.090826	0.10007	0.115908	0.138087	0.154774	0.160598	0.163345	0.168242	0.173349	0.177895	0.194689	0.242249	0.31987	0.371705	0.368246	0.342011	0.308853	0.267366	0.224398	0.19941	0.203174	0.230319	0.254552	0.267925	0.276187	0.282581	0.291046	0.305113	0.320916	0.327537	0.323353	0.312781	0.299331	0.292814	0.303519	0.330319
259	"D7"	25.00	13.88	28.88	0.00	76.96	-3.31	4.80	0.21589	0.247481	0.291572	0.367373	0.434715	0.459806	0.462605	0.462306	0.46356	0.464069	0.473502	0.50808	0.562934	0.59799	0.591829	0.568303	0.540604	0.505248	0.466647	0.444768	0.450244	0.478147	0.504156	0.522644	0.53758	0.550522	0.563649	0.578771	0.593004	0.59895	0.596165	0.588563	0.579228	0.574479	0.582865	0.603698
260	"D8"	62.50	43.25	70.29	0.00	49.91	-10.57	13.75	0.062409	0.070522	0.076726	0.092121	0.100819	0.103425	0.106643	0.110635	0.114699	0.118392	0.132652	0.174385	0.239544	0.277942	0.268481	0.242097	0.211736	0.174399	0.137213	0.116722	0.12204	0.14931	0.173491	0.185811	0.192755	0.197769	0.204554	0.217645	0.232981	0.239546	0.234795	0.224112	0.210818	0.204249	0.214531	0.240917
261	"D9"	37.50	21.99	42.99	0.00	68.07	-6.35	8.71	0.15242	0.172778	0.201441	0.244942	0.280838	0.295792	0.299982	0.303709	0.307709	0.31014	0.323872	0.366611	0.433646	0.477029	0.471213	0.445088	0.413363	0.373211	0.330815	0.305604	0.310589	0.340881	0.368348	0.384826	0.39644	0.405475	0.416316	0.431226	0.446555	0.452772	0.448047	0.439143	0.427175	0.421868	0.432437	0.456442
262	"D10"	12.50	6.33	15.33	0.00	85.48	-0.94	1.59	0.304973	0.343717	0.403257	0.519226	0.624831	0.660271	0.657132	0.64782	0.646009	0.644519	0.649248	0.672164	0.708442	0.730275	0.723385	0.704454	0.684557	0.659037	0.630869	0.616414	0.620434	0.639685	0.658331	0.676063	0.693565	0.710653	0.726692	0.741691	0.753685	0.758954	0.758184	0.754245	0.74994	0.748995	0.755612	0.768438
263	"D11"	75.00	57.09	84.18	0.00	40.37	-5.93	11.71	0.041924	0.047073	0.052696	0.058427	0.062196	0.063591	0.065183	0.068123	0.0707	0.07328	0.084002	0.115709	0.162076	0.184199	0.171587	0.150298	0.127433	0.100298	0.073504	0.060458	0.068219	0.095325	0.11896	0.130216	0.135759	0.139983	0.145825	0.158128	0.172525	0.178729	0.174197	0.164126	0.151295	0.145088	0.154954	0.180669
264	"D12"	87.50	72.88	100.00	0.00	32.34	-5.70	7.37	0.031389	0.036754	0.038145	0.040824	0.042245	0.04393	0.044662	0.048409	0.050047	0.051626	0.059809	0.083395	0.116981	0.127619	0.113697	0.096232	0.079506	0.059604	0.04106	0.032814	0.039192	0.058987	0.075063	0.0812	0.084158	0.086524	0.091253	0.102068	0.116071	0.121975	0.117969	0.108157	0.095928	0.090334	0.099628	0.123994
