CGATS.17

ORIGINATOR	"Idealliance SCCA Calculator"
DESCRIPTOR	"GRACoL2013 CRPC6 IT8.7-5 (TC1617), Reference Data"
MEASUREMENT_SOURCE	"MeasurementCondition=M1 Filter=D50"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"D50"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"Reference"
CREATED	"4/13/20 11:00 AM"

LGOROWLENGTH	49

NUMBER_OF_FIELDS	11
BEGIN_DATA_FORMAT
SAMPLE_ID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT

NUMBER_OF_SETS	1617
BEGIN_DATA
1536	20	0	0	10	53.457	57.643	59.248	80.54	-5.37	-12.64
1414	3	3	0	0	79.387	81.289	73.472	92.26	1.99	-5.75
854	20	70	40	20	20.457	14.982	10.323	45.61	32.65	6.20
45	40	100	0	0	18.815	10.676	16.406	39.03	52.81	-21.85
540	55	100	70	0	12.568	8.295	5.707	34.59	35.45	5.13
1450	0	40	0	3	54.340	45.807	43.275	73.42	27.57	-7.11
824	40	70	20	20	15.852	12.211	13.814	41.55	25.85	-11.00
1531	10	70	0	10	30.911	21.184	22.456	53.15	44.14	-10.38
674	20	85	100	0	24.304	15.484	3.107	46.29	47.35	40.36
898	70	0	70	20	14.693	22.363	11.716	54.41	-36.43	17.06
575	0	85	85	0	34.029	20.314	4.111	52.19	59.42	43.98
1222	70	70	40	80	2.502	2.396	2.551	17.44	3.88	-5.11
929	40	10	100	20	22.852	27.825	5.144	59.73	-17.00	51.27
443	40	10	55	0	37.079	43.733	22.920	72.05	-15.93	21.32
577	10	0	85	0	61.289	67.528	11.172	85.77	-8.76	72.77
1273	40	40	40	100	1.448	1.492	1.186	12.56	0.25	0.61
1053	20	40	100	40	15.720	15.070	2.987	45.73	7.07	40.27
1246	0	70	100	80	4.839	3.930	1.149	23.44	14.43	19.89
620	55	85	85	0	13.271	9.960	4.659	37.77	26.39	15.98
1258	100	70	100	80	1.562	1.916	1.321	15.04	-7.27	3.11
1391	20	12	12	60	13.673	14.342	12.893	44.72	-0.99	-3.03
401	100	40	40	0	8.716	12.833	19.510	42.51	-27.80	-22.79
428	20	40	55	0	38.488	35.440	17.062	66.09	14.31	23.27
769	0	40	10	20	38.353	32.716	27.027	63.93	23.19	-0.05
78	100	55	0	0	9.488	10.817	29.575	39.27	-7.40	-46.77
1220	70	0	40	80	3.417	4.629	4.394	25.65	-15.29	-3.43
1571	40	20	0	10	33.175	34.707	44.526	65.52	-1.02	-22.27
1332	0	0	80	0	71.283	75.808	13.282	89.77	-3.80	73.57
721	100	0	100	0	8.045	18.419	6.980	50.00	-66.00	26.00
863	70	10	40	20	15.270	20.836	19.905	52.77	-25.91	-5.93
1226	100	70	40	80	1.772	1.929	2.562	15.11	-2.14	-9.22
1583	40	70	20	10	19.058	14.549	16.525	45.01	28.28	-11.82
156	100	20	10	0	12.485	18.285	38.455	49.84	-30.84	-41.54
507	20	20	70	0	45.051	46.969	14.545	74.17	-0.68	43.33
851	20	10	40	20	35.349	38.162	22.589	68.14	-4.82	15.21
1027	20	20	70	40	19.310	20.421	7.151	52.31	-1.91	29.27
1096	0	0	20	60	19.151	20.118	13.767	51.97	-1.25	7.09
1504	0	40	40	10	44.358	38.217	20.035	68.18	23.14	20.37
948	0	40	0	40	25.090	21.451	19.980	53.44	19.90	-4.93
1437	3	40	0	0	55.358	46.922	45.478	74.14	27.03	-8.56
587	20	10	85	0	48.185	52.805	10.141	77.76	-7.36	62.22
30	30	20	0	0	46.791	47.487	55.629	74.50	2.83	-19.33
973	0	40	20	40	24.148	20.937	15.133	52.88	18.27	5.13
1268	100	100	0	100	1.007	0.876	1.007	7.91	6.23	-4.82
364	40	30	40	0	32.042	33.633	25.219	64.67	-1.39	4.37
774	10	20	10	20	40.159	39.206	34.053	68.90	7.45	-2.52
154	100	0	10	0	14.715	23.496	46.695	55.58	-41.34	-42.01
311	85	40	30	0	12.352	15.754	23.728	46.65	-17.99	-23.99
108	20	100	10	0	25.146	13.543	14.148	43.57	62.68	-8.40
1264	40	40	0	100	1.505	1.464	1.461	12.38	2.63	-3.20
1343	0	0	7	0	83.433	86.322	68.859	94.45	0.38	2.14
1435	7	7	7	7	62.208	63.740	54.707	83.83	1.74	-2.27
1526	10	40	0	10	41.712	36.092	37.131	66.59	22.16	-10.86
637	85	70	85	0	7.377	8.409	5.627	34.82	-6.79	5.91
616	55	30	85	0	21.624	25.762	8.329	57.81	-14.37	34.14
417	10	20	55	0	54.206	54.083	21.866	78.51	5.29	34.49
1393	100	85	85	80	1.540	1.677	1.432	13.69	-2.06	-0.59
219	70	20	20	0	21.840	27.266	36.332	59.22	-19.44	-22.46
288	40	100	30	0	17.813	10.503	11.083	38.73	48.86	-8.06
600	30	55	85	0	26.858	23.418	6.410	55.50	18.35	37.94
1011	70	0	40	40	11.062	15.611	14.476	46.46	-26.27	-4.27
348	20	55	40	0	34.391	28.168	18.604	60.04	26.83	9.38
1388	80	65	65	60	3.421	3.708	3.331	22.68	-2.43	-1.92
1018	100	40	40	40	4.714	6.580	9.365	30.83	-19.02	-16.09
176	10	40	20	0	48.072	41.941	32.871	70.83	22.20	2.55
670	20	30	100	0	39.391	39.095	5.669	68.82	5.40	64.33
1127	20	20	40	60	12.000	12.494	7.952	41.99	-0.32	8.29
760	100	0	0	20	11.244	16.960	37.094	48.21	-32.49	-42.50
1617	100	100	0	10	5.352	4.131	14.229	24.10	17.89	-42.18
1118	100	40	20	60	3.495	4.477	7.650	25.19	-12.07	-19.50
1577	40	40	10	10	26.401	25.159	30.024	57.23	9.03	-16.52
1609	70	70	40	10	10.549	9.646	12.021	37.20	9.83	-13.51
777	10	100	10	20	20.157	10.917	10.068	39.44	57.78	-3.61
1539	20	0	40	10	47.718	53.484	30.351	78.16	-10.37	19.05
1237	70	40	70	80	2.708	3.237	2.239	20.97	-7.38	3.64
568	0	0	85	0	70.732	75.271	11.177	89.52	-3.89	79.22
711	70	100	100	0	8.401	6.330	3.179	30.23	22.39	12.16
81	100	100	0	0	5.873	4.415	16.390	25.00	20.00	-46.00
328	0	30	40	0	59.019	53.689	27.246	78.28	18.15	24.32
299	70	10	30	0	22.726	30.496	34.157	62.08	-27.70	-14.43
888	20	20	70	20	30.168	31.671	10.389	63.07	-1.38	36.09
1239	70	100	70	80	2.114	1.823	1.487	14.53	8.34	0.20
1525	10	20	70	10	43.216	43.481	12.505	71.88	3.85	44.89
738	10	20	0	20	41.761	40.339	39.732	69.71	8.86	-8.98
1519	10	10	40	10	50.210	52.334	28.010	77.48	-0.67	21.66
280	40	0	30	0	43.774	52.233	41.572	77.42	-18.39	1.93
309	85	20	30	0	14.847	21.285	29.438	53.26	-30.54	-22.43
1372	20	12	12	0	55.609	57.930	52.263	80.70	-0.62	-5.03
754	70	0	0	20	19.522	25.159	40.972	57.23	-22.05	-32.11
586	20	0	85	0	52.894	60.483	11.150	82.10	-13.54	66.51
599	30	40	85	0	30.880	30.030	7.548	61.68	7.26	43.82
1283	40	100	100	100	1.278	1.160	0.703	10.26	5.14	4.43
1528	10	40	20	10	39.666	34.771	27.326	65.57	20.27	2.27
1428	7	7	7	0	71.162	72.837	62.409	88.37	1.98	-2.27
451	55	0	55	0	30.717	41.049	24.179	70.21	-30.11	15.80
155	100	10	10	0	13.576	20.791	42.435	52.72	-36.09	-41.75
1424	3	3	3	3	74.495	76.584	66.658	90.13	1.34	-3.28
1090	70	100	0	60	4.061	2.944	5.343	19.82	19.56	-18.55
158	100	40	10	0	10.389	13.625	30.861	43.69	-19.36	-41.18
1098	0	40	20	60	14.108	12.397	8.983	41.84	14.16	4.23
380	70	10	40	0	21.786	29.949	28.621	61.61	-29.99	-6.71
749	40	10	0	20	29.969	32.765	40.825	63.97	-6.01	-20.30
1002	20	20	40	40	20.584	21.322	13.264	53.30	0.12	10.74
83	0	10	10	0	75.356	74.716	58.384	89.26	6.85	3.27
832	100	0	20	20	9.999	16.427	27.699	47.53	-38.93	-29.46
1225	100	40	40	80	1.926	2.503	3.130	17.93	-10.58	-8.70
579	10	20	85	0	51.483	51.748	9.304	77.13	4.21	63.95
835	100	40	20	20	7.196	9.635	18.620	37.18	-18.71	-30.07
